"Country.Name","Country.Code","Domain.Code","Domain.Name","Series.Name","Series.Year","Fieldwork.Start","Fieldwork.End","Indicator","Series.Type","Series.Category","Data.Collection.Method","Year.From","Year.To","Interval","Reference.Date","Male.Birth","Female.Birth","Original.Total.Birth","Observed.SRB","SRB.Jackknife","SE.SRB.Jackknife","SE.SRB.Stochastic","logSRB.Jackknife","SE.logSRB.Jackknife","SE.logSRB.Stochastic","SE.SRB.Modeling","SE.logSRB.Modeling","Inclusion"
"Pakistan","PAK","Balochistan","Balochistan","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1959,1962,4,1961,3.433592,0.744438,21,4.61232768880686,2.76250171605593,3.87302366209162,1.42864693896913,1.44615029833324,0.779257632329936,0.766565375509124,0.0982024728509571,0.0936006494862588,FALSE
"Pakistan","PAK","Balochistan","Balochistan","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1963,1967,5,1965.5,8.214785,5.623529,101,1.46078823457654,1.29893533156671,0.5665941862909,1.35677039178829,0.336855359489409,0.362560179039912,0.59279891730899,0.0982024728509571,0.0936006494862588,TRUE
"Pakistan","PAK","Balochistan","Balochistan","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1968,1972,5,1970.5,39.124413,22.906015,303,1.70804101018881,1.68153703697644,0.326858226127678,0.472771308422493,0.537696753044383,0.187989627485843,0.265870100567046,0.0982024728509571,0.0936006494862588,TRUE
"Pakistan","PAK","Balochistan","Balochistan","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1973,1977,5,1975.5,64.134305,53.1278,542,1.20717035149206,1.18366457082671,0.207659387202611,0.228339678476648,0.184012981696366,0.175662474752306,0.1855428406413,0.0982024728509571,0.0936006494862588,TRUE
"Pakistan","PAK","Balochistan","Balochistan","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1978,1982,5,1980.5,161.219605,113.636253,989,1.41873390527933,1.41886173691346,0.179764536004404,0.174294716306431,0.358012703667214,0.128262360327757,0.12108398368236,0.0982024728509571,0.0936006494862588,TRUE
"Pakistan","PAK","Balochistan","Balochistan","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1983,1986,4,1985,143.15378,158.252229,1035,0.904592503401643,0.898142443476857,0.0695432118116775,0.105609941043143,-0.104464915044765,0.0765083984924577,0.116330032791654,0.0982024728509571,0.0936006494862588,TRUE
"Pakistan","PAK","Balochistan","Balochistan","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1987,1991,5,1989.5,97.617456,104.177905,753,0.937026483686728,0.925098464671223,0.0874609682489082,0.133741375307389,-0.0734683812702874,0.0925106251365022,0.141187421594349,0.0982024728509571,0.0936006494862588,TRUE
"Pakistan","PAK","KPK","Khyber Pakhtunkhwa","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1955,1955,1,1955.5,0.125134,0,1,,,,,,,,0.0982024728509571,0.0936006494862588,FALSE
"Pakistan","PAK","KPK","Khyber Pakhtunkhwa","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1957,1958,2,1958,3.201655,0.847398,12,3.77821873547023,2.9384857045309,2.59885419484169,1.42824732933353,1.35486763629057,0.715791246569683,0.821028089421505,0.0982024728509571,0.0936006494862588,FALSE
"Pakistan","PAK","KPK","Khyber Pakhtunkhwa","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1959,1963,5,1961.5,22.647876,19.470776,99,1.16317274668457,1.14810807928772,0.22245984302874,0.376771744206252,0.156967918940447,0.195051998418324,0.31346821695175,0.0982024728509571,0.0936006494862588,FALSE
"Pakistan","PAK","KPK","Khyber Pakhtunkhwa","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1964,1968,5,1966.5,104.059515,82.862472,388,1.25580992804559,1.24746185253554,0.179725346747541,0.190709248703175,0.231486998523856,0.144317792551125,0.148912659796347,0.0982024728509571,0.0936006494862588,TRUE
"Pakistan","PAK","KPK","Khyber Pakhtunkhwa","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1969,1973,5,1971.5,187.144411,183.125081,725,1.02194855001866,1.01475247600119,0.106973252594374,0.106279354208447,0.0201189036235605,0.104261977917374,0.103759445466745,0.0982024728509571,0.0936006494862588,TRUE
"Pakistan","PAK","KPK","Khyber Pakhtunkhwa","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1974,1976,3,1975.5,182.364546,189.948636,743,0.960072943087625,0.955462033007521,0.0784593076185081,0.100052035552733,-0.0422132861532933,0.081652903899423,0.103815063784998,0.0982024728509571,0.0936006494862588,TRUE
"Pakistan","PAK","KPK","Khyber Pakhtunkhwa","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1977,1979,3,1978.5,216.352064,213.437778,842,1.01365403082485,1.0093442630051,0.0838393537052874,0.0996503370546282,0.0127237924729913,0.0825930626426476,0.0976767945297737,0.0982024728509571,0.0936006494862588,TRUE
"Pakistan","PAK","KPK","Khyber Pakhtunkhwa","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1980,1983,4,1982,408.999003,395.776154,1521,1.03340991837522,1.0284201797427,0.0922883369027532,0.0738016735364159,0.0320089711991076,0.0890705397265871,0.0713433308632768,0.0982024728509571,0.0936006494862588,TRUE
"Pakistan","PAK","KPK","Khyber Pakhtunkhwa","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1984,1986,3,1985.5,321.810906,314.711769,1197,1.02255758347569,1.01843074877856,0.0873267361745658,0.0806943595334103,0.0219195648490771,0.0854361695965305,0.0786772907216009,0.0982024728509571,0.0936006494862588,TRUE
"Pakistan","PAK","KPK","Khyber Pakhtunkhwa","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1987,1988,2,1988,180.42686,167.4841,655,1.07727754455498,1.07277808969783,0.0987065410636071,0.115640280021298,0.0744506193010501,0.0915074656344509,0.106443819260036,0.0982024728509571,0.0936006494862588,TRUE
"Pakistan","PAK","KPK","Khyber Pakhtunkhwa","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1989,1991,3,1990.5,206.548359,202.62685,726,1.01935335322046,1.01914695874235,0.0852650051193658,0.101683117923571,0.0225067516718405,0.0844089646788865,0.0996111098043637,0.0982024728509571,0.0936006494862588,TRUE
"Pakistan","PAK","Punjab","Punjab","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1957,1958,2,1958,1.671787,9.280749,7,0.180134922299913,,,0.159190875322458,,,0.604762053502362,0.0982024728509571,0.0936006494862588,FALSE
"Pakistan","PAK","Punjab","Punjab","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1959,1963,5,1961.5,120.719382,104.383675,129,1.15649676062852,1.13193858496052,0.237367433737227,0.155143343623759,0.145195197741897,0.205062798766909,0.13338240552472,0.0982024728509571,0.0936006494862588,FALSE
"Pakistan","PAK","Punjab","Punjab","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1964,1968,5,1966.5,416.495728,379.595704,462,1.09720875028659,1.09161586155938,0.118599349539473,0.0781997132582336,0.0935033167725408,0.107947027514767,0.0711274084874629,0.0982024728509571,0.0936006494862588,TRUE
"Pakistan","PAK","Punjab","Punjab","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1969,1971,3,1970.5,415.686883,424.083888,498,0.980199660403038,0.976647454108587,0.096831170329005,0.0681519856231685,-0.0187303973663604,0.0989886186485896,0.0693937330320079,0.0982024728509571,0.0936006494862588,TRUE
"Pakistan","PAK","Punjab","Punjab","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1972,1973,2,1973,425.098856,394.762418,488,1.07684733048727,1.07157627531905,0.104960123087314,0.0756270909190676,0.0738776705037871,0.0972370255160675,0.0700174006784921,0.0982024728509571,0.0936006494862588,TRUE
"Pakistan","PAK","Punjab","Punjab","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1974,1976,3,1975.5,786.063177,793.490191,910,0.990640068290397,0.985920107401967,0.0865616401959073,0.0498718250480091,-0.0103691999865301,0.0870679791881259,0.0503283133573196,0.0982024728509571,0.0936006494862588,TRUE
"Pakistan","PAK","Punjab","Punjab","Demographic and Health Survey","1990-91",1990.958,1991.375,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1977,1978,2,1978,665.488807,644.190376,753,1.03306232411023,1.02972212130106,0.080244003912445,0.05720993039641,0.0323061857476503,0.0775843896638218,0.0552697575038927,0.0982024728509571,0.0936006494862588,TRUE
